date,aire acondicionado,estufa,ventilador,termoeléctrico,calefactor
2020-06-07,10,59,6,0,14
2020-06-14,7,39,5,0,9
2020-06-21,8,42,5,0,10
2020-06-28,6,35,5,0,7
2020-07-05,7,29,5,0,7
2020-07-12,6,22,5,0,5
2020-07-19,6,20,5,0,5
2020-07-26,6,21,4,0,5
2020-08-02,6,13,4,0,3
2020-08-09,6,16,4,0,4
2020-08-16,8,17,5,0,4
2020-08-23,7,13,5,0,3
2020-08-30,7,14,5,0,3
2020-09-06,7,8,5,0,2
2020-09-13,9,7,5,0,2
2020-09-20,13,5,6,0,1
2020-09-27,8,6,5,0,2
2020-10-04,9,5,5,0,2
2020-10-11,19,5,8,0,1
2020-10-18,14,5,7,0,1
2020-10-25,12,4,6,0,1
2020-11-01,19,5,8,0,1
2020-11-08,15,3,8,0,1
2020-11-15,10,4,6,0,1
2020-11-22,17,3,8,0,1
2020-11-29,23,3,10,0,1
2020-12-06,24,3,9,0,1
2020-12-13,22,3,9,0,1
2020-12-20,31,3,14,0,1
2020-12-27,34,3,14,0,1
2021-01-03,32,3,13,0,1
2021-01-10,20,5,9,0,1
2021-01-17,30,4,13,0,1
2021-01-24,21,5,9,0,1
2021-01-31,17,5,8,0,1
2021-02-07,14,6,7,0,1
2021-02-14,10,7,6,0,2
2021-02-21,12,6,7,0,2
2021-02-28,13,6,7,0,1
2021-03-07,12,8,7,0,2
2021-03-14,9,14,5,0,3
2021-03-21,7,12,5,0,3
2021-03-28,6,16,4,0,4
2021-04-04,6,19,5,0,4
2021-04-11,6,15,5,0,3
2021-04-18,8,23,5,0,5
2021-04-25,8,26,4,0,5
2021-05-02,9,32,4,0,7
2021-05-09,8,33,4,0,7
2021-05-16,9,34,4,0,8
2021-05-23,8,32,5,0,8
2021-05-30,8,29,5,0,6
2021-06-06,8,25,4,0,6
2021-06-13,8,31,4,0,9
2021-06-20,13,40,4,0,12
2021-06-27,16,55,5,0,16
2021-07-04,11,37,4,0,10
2021-07-11,14,48,5,0,13
2021-07-18,10,30,4,0,8
2021-07-25,10,25,4,0,9
2021-08-01,9,18,4,0,5
2021-08-08,9,22,4,0,6
2021-08-15,9,23,4,0,7
2021-08-22,8,19,4,0,5
2021-08-29,7,10,4,0,3
2021-09-05,7,10,4,0,3
2021-09-12,7,11,4,0,3
2021-09-19,10,7,4,0,2
2021-09-26,10,6,5,0,2
2021-10-03,10,7,5,0,2
2021-10-10,8,6,4,0,2
2021-10-17,14,7,5,0,2
2021-10-24,27,5,10,0,1
2021-10-31,16,4,8,0,1
2021-11-07,14,3,6,0,1
2021-11-14,14,4,7,0,1
2021-11-21,26,3,10,0,1
2021-11-28,15,3,7,0,1
2021-12-05,29,3,14,0,1
2021-12-12,16,3,7,0,1
2021-12-19,36,2,15,0,1
2021-12-26,43,3,17,0,1
2022-01-02,33,4,15,0,1
2022-01-09,27,4,12,0,1
2022-01-16,15,6,7,0,1
2022-01-23,18,5,8,0,1
2022-01-30,13,5,7,0,1
2022-02-06,20,5,9,0,1
2022-02-13,16,6,8,0,2
2022-02-20,12,9,6,0,2
2022-02-27,12,10,6,0,3
2022-03-06,12,14,6,0,3
2022-03-13,12,15,6,0,3
2022-03-20,11,20,5,0,5
2022-03-27,10,21,5,0,5
2022-04-03,9,19,4,0,5
2022-04-10,11,29,4,0,8
2022-04-17,12,33,4,0,9
2022-04-24,13,34,4,0,11
2022-05-01,10,26,4,0,8
2022-05-08,10,29,4,0,9
2022-05-15,12,31,4,0,10
2022-05-22,12,36,4,0,11
2022-05-29,24,100,5,0,32
2022-06-05,12,34,4,0,11
2022-06-12,12,36,5,0,12
2022-06-19,13,41,4,0,13
2022-06-26,11,35,4,0,11
2022-07-03,13,41,5,0,15
2022-07-10,15,52,4,0,16
2022-07-17,13,37,4,0,12
2022-07-24,11,25,4,0,7
2022-07-31,10,22,4,0,6
2022-08-07,9,17,4,0,6
2022-08-14,9,19,4,0,6
2022-08-21,8,11,4,0,3
2022-08-28,8,9,4,0,3
2022-09-04,8,7,4,0,3
2022-09-11,7,8,4,0,2
2022-09-18,8,10,4,0,3
2022-09-25,8,7,5,0,2
2022-10-02,11,9,5,0,3
2022-10-09,11,6,6,0,2
2022-10-16,11,4,6,0,2
2022-10-23,12,4,7,0,2
2022-10-30,18,4,9,0,1
2022-11-06,13,4,6,0,1
2022-11-13,27,3,13,0,1
2022-11-20,38,3,21,0,1
2022-11-27,30,3,14,0,1
2022-12-04,42,3,23,0,1
2022-12-11,73,3,32,0,1
2022-12-18,27,3,13,0,1
2022-12-25,25,4,12,0,1
2023-01-01,23,4,13,0,1
2023-01-08,22,5,11,0,1
2023-01-15,17,5,8,0,1
2023-01-22,21,5,9,0,2
2023-01-29,34,5,17,0,1
2023-02-05,34,5,16,0,2
2023-02-12,25,7,11,0,2
2023-02-19,19,7,9,0,2
2023-02-26,20,8,8,0,2
2023-03-05,17,10,8,0,3
2023-03-12,14,11,7,0,3
2023-03-19,15,11,7,0,3
2023-03-26,12,15,6,0,5
2023-04-02,10,14,6,0,3
2023-04-09,11,15,5,0,5
2023-04-16,14,29,4,0,11
2023-04-23,12,32,4,0,8
2023-04-30,16,43,5,0,17
2023-05-07,12,27,4,0,10
2023-05-14,10,23,5,0,7
2023-05-21,13,36,4,0,12
2023-05-28,14,37,5,0,14
2023-06-04,10,26,5,0,7
2023-06-11,20,50,6,0,21
2023-06-18,11,35,4,0,10
2023-06-25,11,28,5,0,9
2023-07-02,11,28,4,0,9
2023-07-09,12,29,5,0,9
2023-07-16,12,26,5,0,8
2023-07-23,12,23,5,0,7
2023-07-30,12,14,5,0,4
2023-08-06,13,13,5,0,4
2023-08-13,15,13,6,0,4
2023-08-20,12,14,5,0,5
2023-08-27,11,12,5,0,4
2023-09-03,10,12,5,0,4
2023-09-10,10,9,4,0,3
2023-09-17,11,10,4,0,3
2023-09-24,15,7,6,0,2
2023-10-01,20,8,7,0,3
2023-10-08,15,5,7,0,2
2023-10-15,15,4,7,0,1
2023-10-22,12,5,6,0,1
2023-10-29,13,6,6,0,2
2023-11-05,14,5,6,0,1
2023-11-12,12,6,6,0,2
2023-11-19,27,5,12,0,2
2023-11-26,26,4,11,0,1
2023-12-03,32,3,14,0,1
2023-12-10,41,3,20,0,2
2023-12-17,24,3,13,0,1
2023-12-24,41,3,21,0,1
2023-12-31,32,4,18,0,1
2024-01-07,28,4,14,0,1
2024-01-14,35,4,18,0,2
2024-01-21,73,4,35,0,2
2024-01-28,84,4,37,0,1
2024-02-04,52,4,26,0,1
2024-02-11,33,5,15,0,1
2024-02-18,23,7,9,0,2
2024-02-25,18,6,8,0,2
2024-03-03,17,9,8,0,2
2024-03-10,14,10,6,0,3
2024-03-17,13,14,7,0,4
2024-03-24,13,9,7,0,3
2024-03-31,12,15,6,0,4
2024-04-07,12,18,5,0,7
2024-04-14,12,20,5,0,7
2024-04-21,12,23,5,0,8
2024-04-28,19,48,5,0,21
2024-05-05,23,98,6,0,28
2024-05-12,23,61,5,0,26
2024-05-19,19,57,5,0,19
2024-05-26,15,39,5,0,11
2024-06-02,13,36,5,0,12
2024-06-09,11,28,5,0,8
2024-06-16,12,32,5,0,9
2024-06-23,16,42,6,0,13
2024-06-30,13,31,5,0,8
2024-07-07,20,48,5,0,17
2024-07-14,15,38,5,0,11
2024-07-21,12,25,5,0,7
2024-07-28,9,26,5,0,6
2024-08-04,10,25,4,0,7
2024-08-11,9,15,5,0,4
2024-08-18,10,19,5,0,6
2024-08-25,9,13,4,0,4
2024-09-01,10,10,5,0,3
2024-09-08,10,9,6,0,2
2024-09-15,8,9,4,0,2
2024-09-22,12,9,6,0,3
2024-09-29,17,9,7,0,2
2024-10-06,13,6,6,0,2
2024-10-13,17,4,8,0,1
2024-10-20,17,4,8,0,2
2024-10-27,30,3,13,0,2
2024-11-03,19,4,9,0,1
2024-11-10,24,4,12,0,1
2024-11-17,18,3,10,0,1
2024-11-24,25,4,11,0,1
2024-12-01,18,3,9,0,1
2024-12-08,22,3,12,0,1
2024-12-15,31,3,17,0,1
2024-12-22,58,3,33,0,1
2024-12-29,44,4,25,0,1
2025-01-05,58,4,32,0,2
2025-01-12,45,4,23,0,2
2025-01-19,34,4,16,0,2
2025-01-26,37,5,17,0,1
2025-02-02,38,6,18,0,1
2025-02-09,36,6,17,0,2
2025-02-16,19,8,10,0,2
2025-02-23,21,7,10,0,2
2025-03-02,16,10,8,0,3
2025-03-09,15,12,8,0,3
2025-03-16,14,13,7,0,3
2025-03-23,11,17,6,0,5
2025-03-30,15,29,6,0,9
2025-04-06,12,24,5,0,7
2025-04-13,11,26,5,0,6
2025-04-20,11,25,5,0,7
2025-04-27,13,34,5,0,9
2025-05-04,13,34,5,0,9
2025-05-11,11,33,5,0,10
2025-05-18,13,34,5,0,8
2025-05-25,15,38,6,0,12
2025-06-01,15,50,5,0,15
